iter	RMSE
0	8018137.599
1	7448302.785
2	6999834.26
3	6583115.169
4	6169877.407
5	5796870.799
6	5477166.446
7	5205044.841
8	4921278.834
9	4667855.011
10	4416620.759
11	4198480.911
12	4004019.926
13	3845211.275
14	3686263.072
15	3539760.763
16	3409182.825
17	3283905.79
18	3169842.861
19	3069484.512
20	2981101.123
21	2913265.202
22	2834035.706
23	2768459.814
24	2708631.044
25	2660995.249
26	2609955.749
27	2562709.611
28	2518271.035
29	2485420.884
30	2454904.473
31	2425501.927
32	2397909.19
33	2369668.368
34	2344801.293
35	2320978.414
36	2302921.176
37	2279742.619
38	2264802.7
39	2248549.905
40	2234911.001
41	2222498.169
42	2208710.696
43	2197121.76
44	2184330.196
45	2173737.116
46	2157017.6
47	2148815.99
48	2141341.662
49	2129192.655
50	2122717.26
51	2117772.465
52	2109683.34
53	2103777.4
54	2095651.225
55	2084730.096
56	2070411.704
57	2061971.879
58	2055179.535
59	2046279.985
60	2038116.124
61	2032692.194
62	2025518.128
63	2017178.586
64	2010670.735
65	2005024.083
66	1996763.066
67	1991809.597
68	1981220.458
69	1977312.648
70	1966904.184
71	1962337.344
72	1954224.566
73	1949487.037
74	1946295.462
75	1940475.159
76	1936143.754
77	1931703.375
78	1927263.474
79	1924937.568
80	1919046.132
81	1915788.068
82	1911802.673
83	1909456.189
84	1905831.845
85	1903785.787
86	1899987.101
87	1895168.694
88	1891896.973
89	1888554.331
90	1884380.983
91	1881535.098
92	1877468.994
93	1874022.683
94	1870525.402
95	1868581.424
96	1864102.849
97	1862911.021
98	1862059.066
99	1854676.637
100	1852825.905
101	1848989.459
102	1845140.252
103	1842137.44
104	1839725.358
105	1835397.929
106	1833828.378
107	1832329.085
108	1827347.336
109	1825493.753
110	1821522.203
111	1819067.486
112	1818743.713
113	1816206.874
114	1812789.366
115	1811306.1
116	1809902.173
117	1804963.986
118	1803048.079
119	1801235.088
120	1798448.461
121	1797714.4
122	1796003.552
123	1793948.533
124	1792192.452
125	1790795.322
126	1788310.849
127	1788275.794
128	1784624.911
129	1782915.103
130	1779857.443
131	1779339.845
132	1776450.854
133	1775984.261
134	1775646.988
135	1773229.21
136	1771957.005
137	1769525.118
138	1768076.987
139	1766641.223
140	1764425.707
141	1759271.319
142	1757792.892
143	1755277.114
144	1753028.363
145	1752538.85
146	1750014
147	1748471.208
148	1747535.822
149	1744149.281
150	1741659.208
151	1739889.874
152	1738550.09
153	1737740.835
154	1734257.81
155	1731536.753
156	1730753.409
157	1728878.733
158	1727301.388
159	1724977.292
160	1723951.221
161	1723191.745
162	1721467.433
163	1719907.908
164	1719442.908
165	1717674.461
166	1713722.49
167	1712280.748
168	1710701.001
169	1709367.732
170	1708270.344
171	1705438.626
172	1703583.626
173	1702614.858
174	1699722.125
175	1698167.856
176	1696351.811
177	1694794.518
178	1693025.779
179	1691685.292
180	1689626.056
181	1688475.441
182	1687652.049
183	1687285.581
184	1686138.249
185	1684894.467
186	1680879.46
187	1678468.096
188	1677255.217
189	1674882.942
190	1673801.285
191	1671724.359
192	1670690.955
193	1668976.397
194	1668084.385
195	1665686.846
196	1664255.9
197	1662258.391
198	1661583.885
199	1661194.069
200	1660324.405
201	1659272.925
202	1658574.07
203	1657424.553
204	1656599.034
205	1655147.022
206	1653337.904
207	1652538.166
208	1651065.173
209	1649387.452
210	1646224.875
211	1644050.072
212	1642248.847
213	1640842.352
214	1639614.554
215	1638818.616
216	1637801.839
217	1636777.017
218	1636164.063
219	1635672.794
220	1635250.827
221	1634392.879
222	1632341.535
223	1631437.015
224	1630302.685
225	1628643.076
226	1626425.434
227	1624603.2
228	1622106.043
229	1620775.111
230	1618905.925
231	1618362.867
232	1616763.316
233	1616335.313
234	1615270.159
235	1611574.822
236	1610246.038
237	1607956.279
238	1607303.226
239	1606330.234
240	1605760.919
241	1605095.517
242	1604027.742
243	1602771.709
244	1601974.92
245	1601076.629
246	1600131.591
247	1599032.767
248	1598385.633
249	1596304.165
250	1594903.288
251	1593157.424
252	1592859.383
253	1590951.12
254	1589206.865
255	1588034.746
256	1585356.759
257	1584527.31
258	1582684.376
259	1581853.937
260	1579640.937
261	1578327.028
262	1576970.27
263	1575609.325
264	1574523.707
265	1573039.325
266	1572665.059
267	1572195.891
268	1571508.892
269	1570733.412
270	1569020.037
271	1566963.32
272	1565589.005
273	1564396.986
274	1562475.756
275	1561181.374
276	1559318.852
277	1557860.586
278	1556606.794
279	1555617.825
280	1554382.632
281	1553608.021
282	1552818.243
283	1551307.36
284	1550406.055
285	1549133.736
