iter	Passed	Remaining
0	166	82924
1	193	48152
2	220	36509
3	243	30230
4	266	26431
5	293	24131
6	316	22296
7	340	20944
8	365	19960
9	396	19404
10	425	18893
11	453	18461
12	487	18257
13	518	18006
14	549	17782
15	592	17922
16	633	17990
17	667	17870
18	696	17644
19	734	17619
20	761	17364
21	786	17092
22	824	17098
23	850	16868
24	876	16661
25	910	16595
26	946	16585
27	977	16471
28	1004	16312
29	1030	16139
30	1055	15969
31	1080	15799
32	1104	15633
33	1130	15498
34	1156	15359
35	1180	15217
36	1206	15093
37	1232	14983
38	1257	14859
39	1281	14737
40	1305	14610
41	1329	14495
42	1353	14385
43	1377	14281
44	1403	14189
45	1429	14106
46	1456	14039
47	1483	13967
48	1511	13914
49	1543	13888
50	1572	13844
51	1604	13826
52	1640	13838
53	1674	13829
54	1703	13782
55	1731	13730
56	1760	13680
57	1785	13606
58	1816	13577
59	1841	13506
60	1868	13443
61	1893	13378
62	1919	13316
63	1946	13259
64	1975	13218
65	1999	13148
66	2026	13097
67	2052	13040
68	2078	12983
69	2106	12940
70	2132	12887
71	2159	12838
72	2186	12791
73	2214	12749
74	2241	12702
75	2268	12657
76	2295	12611
77	2319	12551
78	2343	12489
79	2367	12431
80	2392	12374
81	2418	12328
82	2444	12282
83	2473	12248
84	2501	12212
85	2548	12267
86	2594	12314
87	2620	12268
88	2664	12305
89	2700	12303
90	2739	12312
91	2777	12317
92	2807	12286
93	2848	12302
94	2894	12339
95	2932	12340
96	2989	12418
97	3019	12386
98	3057	12386
99	3083	12332
100	3146	12431
101	3172	12378
102	3197	12324
103	3223	12273
104	3248	12222
105	3273	12168
106	3300	12123
107	3330	12089
108	3360	12056
109	3389	12018
110	3416	11974
111	3444	11933
112	3472	11892
113	3496	11838
114	3522	11792
115	3546	11740
116	3571	11692
117	3597	11645
118	3620	11592
119	3643	11537
120	3668	11489
121	3691	11438
122	3716	11392
123	3740	11342
124	3764	11294
125	3789	11247
126	3813	11201
127	3836	11151
128	3860	11102
129	3883	11054
130	3909	11012
131	3935	10972
132	3959	10927
133	3982	10878
134	4004	10827
135	4030	10788
136	4054	10741
137	4077	10697
138	4102	10653
139	4126	10609
140	4150	10567
141	4175	10525
142	4202	10492
143	4229	10456
144	4272	10459
145	4303	10435
146	4332	10404
147	4396	10456
148	4424	10423
149	4452	10388
150	4477	10349
151	4505	10314
152	4533	10282
153	4559	10245
154	4585	10207
155	4614	10174
156	4638	10134
157	4664	10096
158	4691	10060
159	4718	10026
160	4747	9996
161	4773	9958
162	4799	9923
163	4826	9887
164	4852	9851
165	4877	9814
166	4906	9783
167	4938	9758
168	4966	9726
169	4990	9688
170	5018	9655
171	5047	9624
172	5073	9590
173	5101	9557
174	5135	9536
175	5159	9498
176	5184	9460
177	5208	9421
178	5232	9383
179	5261	9354
180	5297	9336
181	5329	9312
182	5362	9289
183	5409	9290
184	5448	9276
185	5487	9264
186	5526	9250
187	5564	9234
188	5597	9210
189	5630	9186
190	5672	9177
191	5701	9145
192	5731	9116
193	5757	9081
194	5781	9043
195	5809	9010
196	5839	8982
197	5867	8950
198	5897	8920
199	5925	8887
200	5952	8854
201	5979	8821
202	6024	8813
203	6064	8799
204	6091	8766
205	6121	8736
206	6151	8706
207	6181	8677
208	6204	8638
209	6227	8600
210	6251	8562
211	6274	8524
212	6302	8492
213	6328	8457
214	6351	8419
215	6374	8381
216	6400	8347
217	6424	8310
218	6452	8279
219	6478	8245
220	6505	8212
221	6530	8178
222	6556	8144
223	6580	8108
224	6612	8081
225	6643	8054
226	6673	8026
227	6699	7991
228	6727	7961
229	6753	7927
230	6781	7897
231	6809	7865
232	6834	7831
233	6857	7795
234	6881	7759
235	6906	7725
236	6933	7694
237	6963	7665
238	6989	7633
239	7015	7600
240	7042	7568
241	7067	7534
242	7095	7504
243	7126	7477
244	7153	7445
245	7177	7411
246	7201	7376
247	7227	7343
248	7252	7310
249	7280	7280
250	7308	7250
251	7334	7218
252	7377	7202
253	7416	7183
254	7449	7156
255	7479	7129
256	7508	7099
257	7533	7066
258	7559	7034
259	7583	7000
260	7610	6968
261	7639	6939
262	7665	6907
263	7690	6875
264	7716	6842
265	7739	6808
266	7763	6774
267	7788	6742
268	7818	6714
269	7846	6684
270	7875	6655
271	7904	6626
272	7932	6596
273	7960	6565
274	7991	6538
275	8019	6508
276	8045	6476
277	8071	6445
278	8096	6413
279	8121	6381
280	8150	6352
281	8175	6320
282	8200	6288
283	8226	6256
284	8255	6227
285	8283	6197
286	8315	6171
287	8344	6142
288	8371	6112
289	8395	6079
290	8420	6047
291	8448	6018
292	8476	5988
293	8499	5955
294	8523	5923
295	8549	5892
296	8591	5872
297	8622	5844
298	8654	5817
299	8681	5787
300	8704	5754
301	8728	5722
302	8752	5690
303	8775	5657
304	8800	5626
305	8829	5598
306	8856	5567
307	8884	5538
308	8915	5510
309	8940	5479
310	8966	5449
311	8997	5421
312	9025	5392
313	9051	5361
314	9076	5330
315	9101	5299
316	9125	5267
317	9151	5237
318	9179	5208
319	9202	5176
320	9227	5145
321	9251	5113
322	9275	5082
323	9300	5052
324	9330	5023
325	9355	4993
326	9380	4962
327	9404	4931
328	9428	4900
329	9452	4869
330	9482	4841
331	9511	4812
332	9543	4786
333	9569	4756
334	9595	4726
335	9623	4697
336	9657	4671
337	9687	4643
338	9711	4612
339	9736	4582
340	9760	4551
341	9786	4521
342	9810	4490
343	9837	4461
344	9863	4431
345	9891	4402
346	9920	4374
347	9951	4346
348	9983	4319
349	10012	4291
350	10036	4260
351	10061	4230
352	10085	4199
353	10110	4169
354	10135	4139
355	10164	4111
356	10191	4082
357	10217	4052
358	10243	4023
359	10272	3995
360	10298	3965
361	10326	3936
362	10358	3909
363	10390	3882
364	10416	3852
365	10443	3823
366	10472	3795
367	10502	3767
368	10527	3737
369	10552	3707
370	10576	3677
371	10600	3647
372	10625	3617
