complex_class,month,avg_price,count
business,2021-01,14236281.25,32
business,2021-02,14816485.714285715,35
business,2021-03,15084909.090909092,22
business,2021-04,14499708.333333334,24
business,2021-05,13742958.333333334,24
business,2021-06,16763750.0,24
business,2021-07,14441823.529411765,34
business,2021-08,16526607.142857144,28
business,2021-09,16608000.0,30
business,2021-10,15848714.285714285,35
business,2021-11,14648764.705882354,34
business,2021-12,18110058.82352941,17
business,2022-01,17240038.46153846,26
business,2022-02,17062480.0,25
business,2022-03,21374297.2972973,37
business,2022-04,16393192.307692308,26
business,2022-05,17352333.333333332,18
business,2022-06,14836481.481481481,27
business,2022-07,17400033.333333332,30
business,2022-08,17437000.0,15
business,2022-09,16153766.666666666,30
business,2022-10,13006095.238095239,21
business,2022-11,17990727.272727273,22
business,2022-12,20481500.0,30
business,2023-01,17537678.57142857,28
business,2023-02,21320461.53846154,26
business,2023-03,19077807.692307692,26
business,2023-04,17841000.0,33
business,2023-05,15168000.0,35
business,2023-06,19916257.14285714,35
business,2023-07,17034696.96969697,33
business,2023-08,18257178.57142857,28
business,2023-09,17679130.43478261,23
business,2023-10,19317212.12121212,33
business,2023-11,20969259.259259257,27
business,2023-12,17837761.904761903,21
business,2024-01,18536047.61904762,21
business,2024-02,21530230.769230768,26
business,2024-03,19285400.0,30
business,2024-04,20021131.57894737,38
business,2024-05,18979764.70588235,34
business,2024-06,20445000.0,20
business,2024-07,20729259.259259257,27
business,2024-08,19648900.0,30
business,2024-09,18817777.777777776,18
business,2024-10,22118592.592592593,27
business,2024-11,19075600.0,25
business,2024-12,19229062.5,32
business,2025-01,15590466.666666666,30
business,2025-02,17210800.0,20
business,2025-03,19265785.714285713,28
business,2025-04,19008380.95238095,21
business,2025-05,14598750.0,20
business,2025-06,21082027.777777776,36
business,2025-07,20219730.769230768,26
business,2025-08,18820562.5,32
business,2025-09,18081962.962962963,27
business,2025-10,17297741.93548387,31
business,2025-11,21486521.739130434,23
business,2025-12,20777625.0,32
business,2026-01,19261038.46153846,26
business,2026-02,16785458.333333332,24
business,2026-03,20420655.172413792,29
business,2026-04,17354047.61904762,21
comfort,2021-01,11500928.57142857,42
comfort,2021-02,11229926.829268293,41
comfort,2021-03,11436125.0,48
comfort,2021-04,11670183.673469387,49
comfort,2021-05,11030951.612903226,62
comfort,2021-06,11319841.26984127,63
comfort,2021-07,12568250.0,56
comfort,2021-08,12612066.666666666,45
comfort,2021-09,11711234.042553192,47
comfort,2021-10,12530253.968253968,63
comfort,2021-11,12267739.130434783,46
comfort,2021-12,13513000.0,32
comfort,2022-01,12501963.636363637,55
comfort,2022-02,12969243.902439024,41
comfort,2022-03,12792716.981132075,53
comfort,2022-04,11848314.814814815,54
comfort,2022-05,12055064.516129032,62
comfort,2022-06,12163865.384615384,52
comfort,2022-07,13015225.0,40
comfort,2022-08,11088181.818181818,55
comfort,2022-09,12471350.0,40
comfort,2022-10,12717625.0,48
comfort,2022-11,13096472.222222222,36
comfort,2022-12,12919705.88235294,51
comfort,2023-01,13984310.344827587,58
comfort,2023-02,15995380.952380951,42
comfort,2023-03,13044833.333333334,60
comfort,2023-04,13024627.450980391,51
comfort,2023-05,13155000.0,47
comfort,2023-06,12743701.754385965,57
comfort,2023-07,13473547.169811321,53
comfort,2023-08,14162047.61904762,42
comfort,2023-09,13293785.714285715,42
comfort,2023-10,14611471.42857143,70
comfort,2023-11,14379232.142857144,56
comfort,2023-12,12441520.0,50
comfort,2024-01,15248228.07017544,57
comfort,2024-02,13284584.905660378,53
comfort,2024-03,15022272.727272727,66
comfort,2024-04,11811309.090909092,55
comfort,2024-05,13390813.559322033,59
comfort,2024-06,15499375.0,40
comfort,2024-07,13795469.387755102,49
comfort,2024-08,15057392.857142856,56
comfort,2024-09,12707781.25,32
comfort,2024-10,13190243.243243244,74
comfort,2024-11,16274705.88235294,51
comfort,2024-12,12213254.901960785,51
comfort,2025-01,14730403.846153846,52
comfort,2025-02,14434750.0,52
comfort,2025-03,12654033.898305085,59
comfort,2025-04,14142515.151515152,66
comfort,2025-05,13487653.846153846,52
comfort,2025-06,13434685.714285715,70
comfort,2025-07,12610021.739130436,46
comfort,2025-08,13255000.0,53
comfort,2025-09,14953238.095238095,63
comfort,2025-10,13042457.627118643,59
comfort,2025-11,13874319.148936171,47
comfort,2025-12,14112590.909090908,44
comfort,2026-01,14492340.0,50
comfort,2026-02,13575358.974358974,39
comfort,2026-03,13699966.101694915,59
comfort,2026-04,11477058.823529411,51
economy,2021-01,9732022.727272727,44
economy,2021-02,8381682.926829268,41
economy,2021-03,8934071.42857143,42
economy,2021-04,9335954.545454545,44
economy,2021-05,10290061.224489795,49
economy,2021-06,10175934.782608695,46
economy,2021-07,10012148.936170213,47
economy,2021-08,10812405.405405406,37
economy,2021-09,10033354.838709677,31
economy,2021-10,9799121.212121213,33
economy,2021-11,10719270.27027027,37
economy,2021-12,8941409.090909092,44
economy,2022-01,10807294.11764706,34
economy,2022-02,11798945.945945946,37
economy,2022-03,11086238.095238095,42
economy,2022-04,9146702.702702703,37
economy,2022-05,11627733.333333334,45
economy,2022-06,11049790.697674418,43
economy,2022-07,10840294.11764706,51
economy,2022-08,10390145.454545455,55
economy,2022-09,12649838.709677419,31
economy,2022-10,11032800.0,40
economy,2022-11,11607444.444444444,36
economy,2022-12,12957878.048780488,41
economy,2023-01,11467735.294117646,34
economy,2023-02,11817714.285714285,35
economy,2023-03,11490673.469387755,49
economy,2023-04,11071071.42857143,42
economy,2023-05,11801042.553191489,47
economy,2023-06,13310166.666666666,42
economy,2023-07,12021186.046511628,43
economy,2023-08,11996212.121212121,33
economy,2023-09,11602346.93877551,49
economy,2023-10,11692875.0,56
economy,2023-11,13447868.421052631,38
economy,2023-12,12545000.0,41
economy,2024-01,12655914.285714285,35
economy,2024-02,13798897.435897436,39
economy,2024-03,11334954.545454545,44
economy,2024-04,12516208.333333334,24
economy,2024-05,13490729.166666666,48
economy,2024-06,13252026.315789474,38
economy,2024-07,12378780.487804879,41
economy,2024-08,13584877.551020408,49
economy,2024-09,11985450.980392156,51
economy,2024-10,12452291.666666666,48
economy,2024-11,10079041.666666666,48
economy,2024-12,13996448.27586207,29
economy,2025-01,15419588.235294119,34
economy,2025-02,12555268.292682927,41
economy,2025-03,12426848.484848484,33
economy,2025-04,11323171.42857143,35
economy,2025-05,12694838.709677419,62
economy,2025-06,13625166.666666666,42
economy,2025-07,12762833.333333334,30
economy,2025-08,12577425.531914894,47
economy,2025-09,13316052.631578946,38
economy,2025-10,12612744.680851065,47
economy,2025-11,11489620.689655172,29
economy,2025-12,13773333.333333334,36
