year_month,district,okrug,secondary_price_per_sqm,newbuild_price_per_sqm,rental_price_per_sqm_monthly,secondary_mom_change_pct,newbuild_mom_change_pct,n_listings_secondary,n_listings_newbuild,n_listings_rental,cbr_key_rate_pct,avg_mortgage_rate_pct
2020-01,Arbat,CAO,480000,543700,2000,,,104,68,41,6.0,8.5
2020-02,Arbat,CAO,469100,531500,1955,-2.28,-2.24,22,63,50,6.0,8.5
2020-03,Arbat,CAO,502200,559800,2093,7.07,5.33,104,56,28,6.0,8.5
2020-04,Arbat,CAO,505100,541500,2104,0.56,-3.27,168,29,107,4.25,6.75
2020-05,Arbat,CAO,523500,594800,2181,3.65,9.84,66,58,57,4.25,6.75
2020-06,Arbat,CAO,515700,563900,2149,-1.49,-5.2,182,29,81,4.25,6.75
2020-07,Arbat,CAO,499300,560800,2081,-3.18,-0.55,63,17,115,4.25,6.75
2020-08,Arbat,CAO,531700,582700,2215,6.47,3.9,73,28,114,4.25,6.75
2020-09,Arbat,CAO,530700,575500,2211,-0.17,-1.23,148,20,42,4.25,6.75
2020-10,Arbat,CAO,551200,595900,2297,3.86,3.54,166,43,100,4.25,6.75
2020-11,Arbat,CAO,565400,618200,2356,2.57,3.74,159,69,98,4.25,6.75
2020-12,Arbat,CAO,522200,567500,2176,-7.64,-8.2,55,18,89,4.25,6.75
2021-01,Arbat,CAO,579900,630400,2416,11.06,11.08,118,55,28,4.25,6.75
2021-02,Arbat,CAO,584900,637100,2437,0.87,1.07,112,6,51,4.25,6.75
2021-03,Arbat,CAO,593100,657200,2471,1.4,3.16,172,26,19,4.25,6.75
2021-04,Arbat,CAO,607600,684300,2532,2.43,4.12,144,32,118,8.5,11.0
2021-05,Arbat,CAO,604300,680100,2518,-0.54,-0.61,66,12,79,8.5,11.0
2021-06,Arbat,CAO,605100,682700,2521,0.14,0.39,135,78,59,8.5,11.0
2021-07,Arbat,CAO,617200,674600,2572,2.0,-1.19,136,16,115,8.5,11.0
2021-08,Arbat,CAO,640700,703700,2669,3.8,4.32,130,26,84,8.5,11.0
2021-09,Arbat,CAO,635900,690500,2650,-0.74,-1.87,131,17,54,8.5,11.0
