id,date_posted,complex_id,complex_name,developer,complex_class,district,okrug,lat,lon,total_area,rooms,floor,total_floors,completion_year,ready_status,metro_station,metro_line,metro_distance_min,to_center_km,price_rub,price_per_sqm,deal_type,subsidized_mortgage,mortgage_rate_at_listing
N000001,2023-11-22,NB0250,Level Residence,PIK,business,Sosenskoye,NAO,55.56126,37.42837,89.3,4,25,35,2027,under_construction,Kutuzovskaya,Filyovskaya,251,24.59,22075000,247200,DDU,True,15.5
N000002,2021-07-08,NB0015,Sheremetyevsky Residence,LSR,business,Novo-Peredelkino,ZAO,55.65817,37.32272,75.9,3,11,17,2025,under_construction,Polyanka,Serpukhovsko-Timiryazevskaya,251,21.5,22445000,295700,DDU,True,11.0
N000003,2022-02-20,NB0170,Sheremetyevsky Residence,Etalon,economy,Brateyevo,YuAO,55.63503,37.73292,48.6,1,20,25,2025,under_construction,Mayakovskaya,Zamoskvoretskaya,208,14.97,7075000,145600,DDU,True,22.5
N000004,2025-03-23,NB0230,Sheremetyevsky Residence,Capital Group,comfort,Voronovskoye,TAO,55.28977,37.20171,36.5,1,11,22,2027,under_construction,Krasnopresnenskaya,Koltsevaya,695,57.96,3011000,82500,installment,False,23.5
N000005,2022-08-05,NB0177,Prokshino Residence,GK A101,comfort,Krasnopakhorskoye,TAO,55.43499,37.31218,52.2,1,22,22,2026,under_construction,Yugo-Zapadnaya,Sokolnicheskaya,338,40.42,4420000,84700,DDU,True,12.0
N000006,2022-05-23,NB0133,Odintsovo-1 Residence,Capital Group,economy,Zelenograd,ZelAO,55.96562,37.21189,75.7,3,2,25,2027,under_construction,Sokol,Zamoskvoretskaya,313,34.72,8169000,107900,DDU,True,12.0
N000007,2023-06-14,NB0067,Severny Residence,LSR,business,Zapadnoye Degunino,SAO,55.87736,37.52278,44.3,1,2,25,2026,under_construction,Rizhskaya,Kaluzhsko-Rizhskaya,144,15.03,11909000,268800,FZ214,True,10.0
N000008,2024-08-31,NB0028,Sheremetyevsky Residence,LSR,business,Strogino,SZAO,55.80037,37.43238,80.4,3,9,17,2026,under_construction,Delovoy Tsentr,MCC,109,12.87,36447000,453300,trade-in,False,18.5
N000009,2025-04-23,NB0161,Headliner Residence,GK A101,comfort,Koptevo,SAO,55.83663,37.49757,33.2,1,16,22,2028,under_construction,Rechnoy Vokzal,Zamoskvoretskaya,25,12.0,7502000,226000,DDU,False,23.5
N000010,2025-05-21,NB0190,Triumph Palace Residence,FSK,economy,Koptevo,SAO,55.84371,37.51231,48.2,1,25,25,2027,under_construction,Arbatskaya (F),Filyovskaya,143,12.07,9504000,197200,DDU,False,23.5
N000011,2025-08-09,NB0031,Prokshino Residence,LSR,comfort,Kuntsevo,ZAO,55.69545,37.45174,43.8,1,9,22,2025,completed,Belorusskaya,Koltsevaya,152,12.42,13208000,301600,FZ214,False,19.5
N000012,2022-07-01,NB0055,Symbol Residence,FSK,economy,Dorogomilovo,ZAO,55.75278,37.58166,86.5,3,9,25,2025,under_construction,Smolenskaya (F),Filyovskaya,13,2.45,36144000,417800,trade-in,True,12.0
N000013,2025-02-01,NB0208,Green Park Residence,INGRAD,economy,Pervomayskoye,TAO,55.45777,37.06757,55.0,2,1,30,2025,completed,Partizanskaya,Arbatsko-Pokrovskaya,682,47.87,4327000,78700,DDU,False,23.5
N000014,2021-12-22,NB0165,Severny Residence,Etalon,economy,Novofyodorovskoye,TAO,55.34686,36.93524,35.6,1,12,25,2025,under_construction,Delovoy Tsentr,MCC,705,62.51,2341000,65800,installment,True,11.0
N000015,2023-05-02,NB0077,Headliner Residence,Samolet,economy,Meshchansky,CAO,55.78317,37.66762,44.1,2,23,35,2025,under_construction,Rizhskaya,Kaluzhsko-Rizhskaya,27,4.38,14678000,332800,FZ214,True,10.0
N000016,2021-12-13,NB0004,Severny Residence,LSR,business,Sokolinaya Gora,VAO,55.79487,37.71711,42.1,1,5,17,2027,under_construction,Preobrazhenskaya Ploshchad,Sokolnicheskaya,7,7.55,15122000,359200,DDU,True,11.0
N000017,2024-01-05,NB0012,Polar Residence,INGRAD,business,Vnukovskoye,NAO,55.65052,37.30897,49.5,1,16,30,2027,under_construction,Yasenevo,Kaluzhsko-Rizhskaya,181,22.67,11164000,225500,trade-in,True,18.5
