id,date_posted,district,okrug,lat,lon,total_area,rooms,floor,total_floors,building_year,building_type,renovation,furnished,pets_allowed,deposit_months,metro_station,metro_line,metro_distance_min,to_center_km,monthly_rent_rub,rent_per_sqm
R000001,2025-01-16,Nagatinsky Zaton,YuAO,55.70058,37.69344,34.7,1,5,9,1958,brick,cosmetic,False,True,1,Ugreshskaya,MCC,28,7.47,26200,756
R000002,2022-11-12,Chertanovo Severnoye,YuAO,55.64717,37.6169,53.4,1,10,12,2010,monolith,cosmetic,True,False,1,Kuznetsky Most,Tagansko-Krasnopresnenskaya,152,11.87,37200,696
R000003,2026-03-06,Savyolovsky,SAO,55.78584,37.57104,69.9,2,15,22,2009,monolith,euro,True,False,1,Rizhskaya,Kaluzhsko-Rizhskaya,43,4.72,96700,1384
R000004,2024-10-11,Beskudnikovsky,SAO,55.87034,37.5608,44.6,2,14,17,1980,brick,no_renovation,True,False,1,Trubnaya,Lyublinsko-Dmitrovskaya,145,13.48,30200,677
R000005,2023-07-11,Shchapovskoye,TAO,55.37723,37.51217,56.7,1,3,5,1979,panel,euro,False,False,1,Dubrovka,Lyublinsko-Dmitrovskaya,472,42.44,18700,330
R000006,2021-01-16,Novokosino,VAO,55.75112,37.84664,51.8,2,7,9,2010,modern_panel,euro,False,True,1,Perovo,Kalininskaya,62,14.14,33700,650
R000007,2021-05-26,Kokoshkino,NAO,55.64368,37.20214,60.4,2,1,9,1982,panel,cosmetic,False,False,2,Tverskaya,Zamoskvoretskaya,339,28.96,19500,322
R000008,2022-06-29,Gagarinsky,YuZAO,55.70888,37.5591,50.4,1,10,12,2010,monolith,euro,True,False,1,Lubyanka,Sokolnicheskaya,90,6.32,81700,1620
R000009,2025-03-27,Vnukovskoye,NAO,55.65965,37.32511,48.8,1,1,9,2002,modern_panel,euro,True,False,1,Shchyolkovskaya,Arbatsko-Pokrovskaya,424,21.28,30100,618
R000010,2024-12-12,Biryulyovo Zapadnoye,YuAO,55.60913,37.64448,55.9,2,2,5,2021,monolith,cosmetic,True,True,2,Ulitsa Akademika Yangelya,Serpukhovsko-Timiryazevskaya,39,16.17,40100,718
R000011,2025-11-28,Yuzhnoye Tushino,SZAO,55.84938,37.45494,74.9,3,2,5,2008,modern_panel,cosmetic,True,False,0,Profsoyuznaya,Kaluzhsko-Rizhskaya,236,14.84,66500,888
R000012,2023-07-18,Gagarinsky,YuZAO,55.67601,37.54901,48.0,2,20,22,1937,stalin,cosmetic,False,False,1,Sportivnaya,Sokolnicheskaya,31,9.76,76200,1588
R000013,2025-07-02,Novogireyevo,VAO,55.76537,37.82773,69.1,3,12,12,1953,brick,cosmetic,True,False,1,Pervomayskaya,Arbatsko-Pokrovskaya,57,13.01,55100,798
